"Offers &amp; Coupons","Ofertas y Cupones",""
"Hold:order","Crear Pre-venta",""
"Hold","Crear Pre-venta",""
"Hold order as draft","Guardar pedido como pre-venta",""
"Drafts","Pre-ventas",""
"Delete Draft?","¿Eliminar Pre-venta?",""
"Clear All Drafts?","¿Limpiar todas las pre-ventas?",""
"Draft invoice deleted","Pre-venta eliminada",""
"Draft invoice loaded successfully","Pre-venta cargada exitosamente",""
"Draft deleted successfully","Pre-venta eliminada exitosamente",""
"No draft invoices","No hay pre-ventas",""
"Save invoices as drafts to continue later","Guarde las ventas como pre-ventas para continuar más tarde",""
"Customer: {0}","Cliente: {0}",""
"Print draft","Imprimir pre-venta",""
"Delete draft","Eliminar pre-venta",""
"{0} item(s)","{0} artículo(s)",""
"+{0} more","+{0} más",""
"Permanently delete this draft invoice?","¿Eliminar permanentemente esta pre-venta?",""
"Permanently delete all {0} draft invoices?","¿Eliminar permanentemente todas las {0} pre-ventas?",""
"Failed to load draft invoices","Error al cargar las pre-ventas",""
"Failed to print draft","Error al imprimir pre-venta",""
"Failed to delete draft","Error al eliminar pre-venta",""
"All draft invoices deleted","Todas las pre-ventas fueron eliminadas",""
"Failed to clear drafts","Error al limpiar las pre-ventas",""
"Edit Customer","Editar Cliente",""
"Create New Customer","Crear Nuevo Cliente",""
"Customer Name","Nombre del Cliente",""
"Enter customer name","Ingrese el nombre del cliente",""
"Mobile Number","Número de Celular",""
"Search country or code...","Buscar país o código...",""
"No countries found","No se encontraron países",""
"Enter phone number","Ingrese el número de teléfono",""
"Email","Correo electrónico",""
"Enter email address","Ingrese la dirección de correo electrónico",""
"Customer Group","Grupo de Clientes",""
"Select Customer Group","Seleccionar Grupo de Clientes",""
"Territory","Territorio",""
"Select Territory","Seleccionar Territorio",""
"Governorate","Provincia",""
"Select Governorate","Seleccionar Provincia",""
"District","Distrito",""
"Select District","Seleccionar Distrito",""
"Select a governorate first","Seleccione una provincia primero",""
"Permission Required","Permiso Requerido",""
"Save Changes","Guardar Cambios",""
"Create Customer","Crear Cliente",""
"Failed to create customer","Error al crear cliente",""
"Customer {0} updated successfully","Cliente {0} actualizado exitosamente",""
"Failed to update customer","Error al actualizar cliente",""
"Customer Name is required","El nombre del cliente es obligatorio",""
"Enter the actual counted amounts for each payment method","Ingrese los montos reales contados para cada método de pago",""
"Shift closed successfully - Review the final reconciliation below","Turno cerrado exitosamente - Revise la conciliación final abajo",""
"Count your cash and enter actual amounts below","Cuente su efectivo e ingrese los montos reales abajo",""
"Opening","Apertura",""
"Expected","Esperado",""
"Actual Amount *","Monto Real *",""
"Shift start","Inicio de turno",""
"No sales","Sin ventas",""
"Final Amount","Monto Final",""
"Count & enter","Contar y registrar",""
"Cash Over","Sobrante de Caja",""
"Cash Short","Faltante de Caja",""
"You have more than expected.","Tiene más de lo esperado.",""
"You have less than expected.","Tiene menos de lo esperado.",""
"Total Expected","Total Esperado",""
"Total Actual","Total Real",""
"Net Variance","Diferencia Neta",""
"Tax Summary","Resumen de Impuestos",""
"Search by invoice number or customer...","Buscar por número de factura o cliente...",""
"Please enter all closing amounts","Por favor ingrese todos los montos de cierre",""
"Expected: &lt;span class=&quot;font-medium&quot;&gt;{0}&lt;/span&gt;","Esperado: &lt;span class=&quot;font-medium&quot;&gt;{0}&lt;/span&gt;",""
"Expected: <span class=\"font-medium\">{0}</span>","Esperado: <span class=\"font-medium\">{0}</span>",""
"✓ Balanced","✓ Cuadrado",""
"Over {0}","Sobrante: {0}",""
"Short {0}","Faltante: {0}",""
"Gross Sales","Ventas Brutas",""
"Net Sales","Ventas Netas",""
"Tax Collected","Impuestos Recaudados",""
"Duration","Duración",""
"After returns","Después de devoluciones",""
"Net tax","Impuesto neto",""
"Net Total:","Total Neto:",""
"Invoice Details","Detalles de la Factura",""
"Invoice","Factura",""
"Type","Tipo",""
"Customer","Cliente",""
"Time","Hora",""
"Amount","Importe",""
"Sale","Venta",""
"Return","Devolución",""
"Close POS Shift","Cerrar Turno de POS",""
"{0} invoices","{0} facturas",""
"{0} returns","{0} devoluciones",""
"{0} transactions • {1}","{0} transacciones • {1}",""
"Expected: <span class=""font-medium"">{0}</span>","Esperado: <span class=""font-medium"">{0}</span>",""
"Expected: &lt;span class=&quot;font-medium&quot;&gt;{0}&lt;/span&gt;","Esperado: &lt;span class=&quot;font-medium&quot;&gt;{0}&lt;/span&gt;",""
"Print Pre-ticket","Imprimir Pre-ticket",""
"Pre-sale saved successfully. Do you want to print the pre-ticket?","Pre-venta guardada exitosamente. ¿Desea imprimir el pre-ticket?",""
"Yes","Sí",""
"No","No",""
"Just now","Hace unos instantes",""
"{0} min ago","Hace {0} min",""
"{0} hr ago","Hace {0} h",""
"{0} day ago","Hace {0} d",""
"Stock Management","Gestión de Inventario",""
"Sales Management","Gestión de Ventas",""
"Configure warehouse and inventory settings","Configure los almacenes y la configuración de inventario",""
"Stock Controls","Controles de Stock",""
"Warehouse Selection","Selección de Almacén",""
"Active Warehouse","Almacén Activo",""
"All stock operations will use this warehouse. Stock quantities will refresh after saving.","Todas las operaciones de stock utilizarán este almacén. Las cantidades de stock se actualizarán después de guardar.",""
"Stock Validation Policy","Política de Validación de Stock",""
"Allow Negative Stock","Permitir Inventario Negativo",""
"Enable selling items even when stock reaches zero or below. Integrates with Back Office stock settings.","Permitir la venta de artículos incluso cuando el stock llega a cero o menos. Se integra con la configuración de stock de ERPNext.",""
"<strong>Note:</strong> When enabled, the system will allow sales even when stock quantity is zero or negative. This is useful for handling stock sync delays or backorders. All transactions are tracked in the stock ledger.","<strong>Nota:</strong> Cuando está activado, el sistema permitirá ventas incluso cuando el stock es cero o negativo. Esto es útil para manejar retrasos en la sincronización de stock o pedidos pendientes. Todas las transacciones se registran en el libro de stock.",""
"Background Stock Sync","Sincronización de Stock en Segundo Plano",""
"Enable Automatic Stock Sync","Activar Sincronización Automática de Stock",""
"Periodically sync stock quantities from server in the background (runs in Web Worker)","Sincronizar periódicamente las cantidades de stock del servidor en segundo plano (se ejecuta en Web Worker)",""
"Sync Interval (seconds)","Intervalo de Sincronización (segundos)",""
"How often to check server for stock updates (minimum 10 seconds)","Frecuencia para verificar actualizaciones de stock en el servidor (mínimo 10 segundos)",""
"<strong>Status:</strong> Running","<strong>Estado:</strong> Ejecutándose",""
"<strong>Status:</strong> Stopped","<strong>Estado:</strong> Detenido",""
"<strong>Items Tracked:</strong> {0}","<strong>Artículos Registrados:</strong> {0}",""
"<strong>Warehouse:</strong> {0}","<strong>Almacén:</strong> {0}",""
"<strong>Last Sync:</strong> {0}","<strong>Última Sincronización:</strong> {0}",""
"<strong>Last Sync:</strong> Never","<strong>Última Sincronización:</strong> Nunca",""
"Warehouse not set","Almacén no configurado",""
"Please select a customer before saving a pre-sale","Por favor, seleccione un cliente antes de guardar una pre-venta",""
"Failed to save draft","Error al guardar la pre-venta",""
"Invoice saved as draft successfully","Pre-venta guardada exitosamente",""
"Refresh","Actualizar",""
"Save Changes","Guardar Cambios",""
"Sales Controls","Controles de Ventas",""
"Pricing & Discounts","Precios y Descuentos",""
"Tax Inclusive","Impuestos Incluidos",""
"When enabled, displayed prices include tax. When disabled, tax is calculated separately. Changes apply immediately to your cart when you save.","Cuando está activado, los precios mostrados incluyen impuestos. Cuando está desactivado, el impuesto se calcula por separado. Los cambios se aplican inmediatamente al carrito al guardar.",""
"Max Discount (%)","Descuento Máximo (%)",""
"Maximum discount per item","Descuento máximo por artículo",""
"Use Percentage Discount","Usar Descuento Porcentual",""
"Show discounts as percentages","Mostrar descuentos como porcentajes",""
"Allow Additional Discount","Permitir Descuento Adicional",""
"Enable invoice-level discount","Habilitar descuento a nivel de factura",""
"Allow Item Discount","Permitir Descuento por Artículo",""
"Enable item-level discount in edit dialog","Habilitar descuento a nivel de artículo en el diálogo de edición",""
"Allow User To Edit Rate","Permitir al Usuario Editar Precios",""
"Allow editing item rate in cart. Disabled when offers are applied.","Permitir la edición de precios de los artículos en el carrito. Desactivado cuando hay ofertas aplicadas.",""
"Disable Rounded Total","Desactivar Redondeo del Total",""
"Show exact totals without rounding","Mostrar totales exactos sin redondeo",""
"Sales Operations","Operaciones de Venta",""
"Allow Credit Sale","Permitir Venta a Crédito",""
"Enable sales on credit","Habilitar ventas a crédito",""
"Allow Return","Permitir Devolución",""
"Enable product returns","Habilitar devoluciones de productos",""
"Allow Write Off Change","Permitir Ajuste de Cambio",""
"Write off small change amounts","Ajustar pequeñas diferencias de cambio de caja",""
"Allow Partial Payment","Permitir Pago Parcial",""
"Enable partial payment for invoices","Habilitar pagos parciales para facturas",""
"Silent Print","Impresión Silenciosa",""
"Send receipts directly to a thermal printer via QZ Tray (no browser dialog)","Enviar recibos directamente a una impresora térmica a través de QZ Tray (sin diálogo de navegador)",""
"Connecting to QZ Tray...","Conectando a QZ Tray...",""
"QZ Tray Connected","QZ Tray Conectado",""
"QZ Tray Not Connected","QZ Tray No Conectado",""
"Retry","Reintentar",""
"Printer","Impresora",""
"No printers found. Is QZ Tray running?","No se encontraron impresoras. ¿Está ejecutándose QZ Tray?",""
"Refresh printer list","Actualizar lista de impresoras",""
"Silent Print Certificate","Certificado de Impresión Silenciosa",""
"Installed","Instalado",""
"Not Installed","No Instalado",""
"Checking...","Verificando...",""
"Certificate is installed and signing is active. Print jobs will be sent silently without confirmation dialogs.","El certificado está instalado y la firma está activa. Los trabajos de impresión se enviarán de forma silenciosa sin diálogos de confirmación.",""
"Certificate is not installed on this machine. Generate a certificate, download it, and import it into QZ Tray.","El certificado no está instalado en esta máquina. Genere un certificado, descárguelo e impórtelo en QZ Tray.",""
"To print without confirmation dialogs, generate a signing certificate and install it on each POS machine.","Para imprimir sin diálogos de confirmación, genere un certificado de firma e instálelo en cada máquina POS.",""











